,Unnamed: 0,month,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin
0,0,1,9,2,19,14,7,1,0,0,2,0,0,91,12,11,18,7,10,4,0
1,1,2,50,13,12,30,25,15,3,0,0,3,6,170,33,11,36,13,15,6,0
2,2,3,159,16,55,63,44,28,32,11,3,20,41,168,27,12,35,52,11,92,33
3,3,4,159,11,89,68,37,28,32,19,12,8,48,102,34,14,34,38,27,66,24
4,4,5,43,5,30,27,18,23,29,17,25,2,15,106,9,8,12,14,9,7,2
5,5,6,23,3,55,45,12,8,6,5,13,1,11,34,23,16,23,16,32,3,2
6,6,7,38,8,103,54,20,32,15,8,83,2,16,21,42,10,61,30,33,23,3
7,7,8,19,4,42,49,8,8,2,4,32,0,18,15,18,6,33,14,20,5,9
8,8,9,36,20,86,105,23,15,11,14,40,2,12,6,30,18,42,19,24,10,8
9,9,10,13,7,13,21,11,5,3,5,21,2,2,6,13,3,12,5,3,11,3
10,10,11,13,10,32,29,14,18,23,30,56,0,16,9,16,9,19,18,10,6,3
11,11,12,36,16,16,18,12,8,4,7,44,0,11,11,30,21,60,12,15,9,24
